DATE,AAA_BETA0,AAA_BETA1,AAA_BETA2,AAA_BETA3,AAA_TAU1,AAA_TAU2,BBB_BETA0,BBB_BETA1,BBB_BETA2,BBB_BETA3,BBB_TAU1,BBB_TAU2
06.09.2004,5.410509638,-3.462358291,-0.361334584,-0.466367761,3.128330844,1.489534895,5.442097907,-3.54342805,1.338503292,-0.283215915,4.967567682,1.877315408
07.09.2004,5.391885841,-3.450352853,-0.372907799,-0.271294733,3.15786823,1.548565753,5.440139269,-3.544804079,1.24371265,-0.043414039,5.040246716,1.941233804
08.09.2004,5.385978435,-3.447949677,-0.346505029,-0.198077467,3.137856759,1.553148193,5.427175719,-3.532165482,1.269051854,0.043859934,5.023621383,1.931734683
09.09.2004,5.37733334,-3.432592128,-0.382207983,-0.293481762,3.271391948,1.521142743,5.395118347,-3.488823226,1.319767212,-0.153948787,5.174891374,1.903900313
10.09.2004,5.355732362,-3.395283105,-0.375382273,-0.507893702,3.279875526,1.479196614,5.364145,-3.447313331,1.396242796,-0.396638476,5.213259272,1.864572034
13.09.2004,5.36540152,-3.414399546,-0.392851715,-0.296918476,3.312242279,1.575132087,5.397532872,-3.491068516,1.29462996,-0.115062624,5.306421443,1.966482123
14.09.2004,5.36775903,-3.416192307,-0.401330727,-0.349662143,3.311395378,1.571843326,5.374247788,-3.460615755,1.379887467,-0.241586644,5.292746771,1.978180435
15.09.2004,5.358261312,-3.403145824,-0.394387087,-0.35984309,3.30007872,1.57312292,5.365355837,-3.447523426,1.385838971,-0.24296597,5.297682663,1.990601236
16.09.2004,5.344474893,-3.384598069,-0.385638908,-0.331579383,3.290072392,1.582903441,5.3568972,-3.435249447,1.371762548,-0.18862009,5.311620054,2.01506045
17.09.2004,5.329381588,-3.352071223,-0.389467744,-0.513191465,3.28513715,1.545060636,5.421733892,-3.4896687,1.31260006,-0.349767049,5.392821866,2.02579168
